task_id,failure_within_30d_target,maintenance_duration_hours_target,priority_score_target,priority_class_target,block_required_target
EVT-0000001,False,2.93,38,MEDIUM,False
EVT-0000002,True,8.18,54,HIGH,True
EVT-0000003,False,3.29,38,MEDIUM,False
EVT-0000004,False,2.62,17,LOW,False
EVT-0000005,False,8.0,38,MEDIUM,False
EVT-0000006,True,5.89,33,MEDIUM,False
EVT-0000007,False,3.4,31,MEDIUM,False
EVT-0000008,False,1.94,25,LOW,False
EVT-0000009,False,4.46,39,MEDIUM,True
EVT-0000010,False,5.58,29,LOW,False
EVT-0000011,False,6.45,41,MEDIUM,False
EVT-0000012,False,3.14,36,MEDIUM,False
EVT-0000013,False,4.03,42,MEDIUM,False
EVT-0000014,False,6.09,59,HIGH,False
EVT-0000015,False,6.17,44,MEDIUM,False
EVT-0000016,False,5.67,41,MEDIUM,False
EVT-0000017,False,3.06,9,LOW,False
EVT-0000018,False,4.9,48,MEDIUM,False
EVT-0000019,False,4.34,32,MEDIUM,False
EVT-0000020,True,5.66,45,MEDIUM,False
EVT-0000021,False,6.21,53,HIGH,False
EVT-0000022,False,5.6,41,MEDIUM,False
EVT-0000023,False,6.06,42,MEDIUM,False
EVT-0000024,False,3.75,21,LOW,False
EVT-0000025,False,5.39,57,HIGH,False
EVT-0000026,False,2.26,42,MEDIUM,False
EVT-0000027,False,5.48,41,MEDIUM,False
EVT-0000028,False,2.88,23,LOW,False
EVT-0000029,False,4.16,61,HIGH,True
EVT-0000030,False,1.29,30,MEDIUM,False
EVT-0000031,False,3.98,34,MEDIUM,False
EVT-0000032,False,4.66,32,MEDIUM,False
EVT-0000033,False,6.41,33,MEDIUM,True
EVT-0000034,False,4.57,36,MEDIUM,True
EVT-0000035,False,5.17,34,MEDIUM,False
EVT-0000036,False,3.62,28,LOW,False
EVT-0000037,False,5.46,17,LOW,False
EVT-0000038,False,2.83,24,LOW,False
EVT-0000039,False,5.84,37,MEDIUM,False
EVT-0000040,False,5.01,25,LOW,True
EVT-0000041,False,4.72,14,LOW,False
EVT-0000042,False,4.72,28,LOW,False
EVT-0000043,False,5.52,31,MEDIUM,False
EVT-0000044,True,6.72,52,HIGH,False
EVT-0000045,False,7.06,44,MEDIUM,False
EVT-0000046,False,4.64,48,MEDIUM,False
EVT-0000047,False,4.95,29,LOW,False
EVT-0000048,False,1.51,6,LOW,False
EVT-0000049,True,4.32,35,MEDIUM,False
EVT-0000050,False,4.65,43,MEDIUM,False
EVT-0000051,True,2.27,61,HIGH,True
EVT-0000052,True,5.41,36,MEDIUM,False
EVT-0000053,False,3.34,51,HIGH,False
EVT-0000054,False,5.54,35,MEDIUM,False
EVT-0000055,False,5.51,38,MEDIUM,False
EVT-0000056,False,3.78,22,LOW,False
EVT-0000057,False,3.87,19,LOW,False
EVT-0000058,False,0.5,58,HIGH,False
EVT-0000059,False,5.03,16,LOW,False
EVT-0000060,False,6.92,54,HIGH,False
EVT-0000061,False,6.86,45,MEDIUM,False
EVT-0000062,True,6.03,43,MEDIUM,False
EVT-0000063,False,4.87,45,MEDIUM,True
EVT-0000064,False,4.82,41,MEDIUM,True
EVT-0000065,False,4.33,50,HIGH,False
EVT-0000066,True,5.43,63,HIGH,False
EVT-0000067,False,5.22,28,LOW,False
EVT-0000068,False,4.68,34,MEDIUM,False
EVT-0000069,False,4.34,31,MEDIUM,False
EVT-0000070,False,5.89,33,MEDIUM,False
EVT-0000071,False,2.04,37,MEDIUM,False
EVT-0000072,False,3.49,27,LOW,False
EVT-0000073,False,7.02,57,HIGH,False
EVT-0000074,False,2.39,53,HIGH,False
EVT-0000075,False,6.31,63,HIGH,True
EVT-0000076,False,4.53,23,LOW,False
EVT-0000077,False,1.2,22,LOW,False
EVT-0000078,False,4.23,37,MEDIUM,False
EVT-0000079,False,2.19,24,LOW,False
EVT-0000080,False,7.31,57,HIGH,True
EVT-0000081,False,4.94,43,MEDIUM,False
EVT-0000082,False,3.9,34,MEDIUM,False
EVT-0000083,True,5.5,25,LOW,False
EVT-0000084,False,3.28,31,MEDIUM,False
EVT-0000085,False,4.68,52,HIGH,True
EVT-0000086,False,5.42,17,LOW,False
EVT-0000087,False,1.62,31,MEDIUM,False
EVT-0000088,False,2.83,39,MEDIUM,False
EVT-0000089,False,8.45,58,HIGH,True
EVT-0000090,False,1.71,19,LOW,False
EVT-0000091,False,5.18,32,MEDIUM,False
EVT-0000092,False,3.75,26,LOW,False
EVT-0000093,True,3.41,51,HIGH,True
EVT-0000094,False,5.53,27,LOW,False
EVT-0000095,False,5.36,46,MEDIUM,False
EVT-0000096,False,3.46,25,LOW,False
EVT-0000097,False,4.34,33,MEDIUM,False
EVT-0000098,False,3.7,38,MEDIUM,False
EVT-0000099,False,4.88,20,LOW,False
EVT-0000100,False,6.19,34,MEDIUM,False
EVT-0000101,False,3.04,28,LOW,False
EVT-0000102,False,2.91,28,LOW,False
EVT-0000103,False,4.41,38,MEDIUM,False
EVT-0000104,False,3.7,53,HIGH,False
EVT-0000105,False,5.6,44,MEDIUM,True
EVT-0000106,False,7.58,36,MEDIUM,False
EVT-0000107,True,3.57,39,MEDIUM,False
EVT-0000108,False,1.31,39,MEDIUM,False
EVT-0000109,False,1.99,45,MEDIUM,False
EVT-0000110,False,2.69,43,MEDIUM,False
EVT-0000111,False,4.51,27,LOW,False
EVT-0000112,False,3.26,34,MEDIUM,False
EVT-0000113,False,3.35,33,MEDIUM,False
EVT-0000114,False,4.04,41,MEDIUM,False
EVT-0000115,False,2.75,49,MEDIUM,False
EVT-0000116,False,2.38,27,LOW,False
EVT-0000117,False,3.89,22,LOW,False
EVT-0000118,False,3.2,22,LOW,False
EVT-0000119,True,3.42,35,MEDIUM,False
EVT-0000120,False,2.61,35,MEDIUM,False
EVT-0000121,False,4.13,49,MEDIUM,False
EVT-0000122,False,3.98,31,MEDIUM,False
EVT-0000123,False,2.86,20,LOW,False
EVT-0000124,False,3.75,29,LOW,False
EVT-0000125,False,3.23,21,LOW,False
EVT-0000126,False,6.07,33,MEDIUM,False
EVT-0000127,False,3.67,21,LOW,False
EVT-0000128,False,3.78,41,MEDIUM,False
EVT-0000129,False,4.51,19,LOW,False
EVT-0000130,False,4.87,43,MEDIUM,False
EVT-0000131,False,2.31,30,MEDIUM,False
EVT-0000132,False,5.16,51,HIGH,False
EVT-0000133,False,5.83,50,HIGH,False
EVT-0000134,False,5.37,42,MEDIUM,False
EVT-0000135,False,6.17,31,MEDIUM,False
EVT-0000136,True,6.56,27,LOW,False
EVT-0000137,False,6.55,21,LOW,False
EVT-0000138,False,3.7,40,MEDIUM,False
EVT-0000139,True,5.05,67,HIGH,True
EVT-0000140,False,4.96,60,HIGH,False
EVT-0000141,False,6.02,33,MEDIUM,False
EVT-0000142,False,5.8,54,HIGH,True
EVT-0000143,False,1.88,33,MEDIUM,False
EVT-0000144,False,1.78,29,LOW,False
EVT-0000145,False,3.72,28,LOW,False
EVT-0000146,True,4.95,49,MEDIUM,True
EVT-0000147,True,4.18,23,LOW,False
EVT-0000148,False,0.5,20,LOW,False
EVT-0000149,False,3.38,17,LOW,False
EVT-0000150,False,7.54,45,MEDIUM,False
EVT-0000151,False,7.66,53,HIGH,False
EVT-0000152,False,6.72,47,MEDIUM,False
EVT-0000153,False,3.81,20,LOW,False
EVT-0000154,False,0.5,25,LOW,False
EVT-0000155,False,5.49,25,LOW,False
EVT-0000156,False,7.81,33,MEDIUM,False
EVT-0000157,False,4.21,15,LOW,False
EVT-0000158,True,4.36,50,HIGH,False
EVT-0000159,False,4.71,14,LOW,False
EVT-0000160,True,4.77,31,MEDIUM,True
EVT-0000161,False,3.34,25,LOW,False
EVT-0000162,True,5.71,48,MEDIUM,False
EVT-0000163,True,6.35,44,MEDIUM,False
EVT-0000164,True,8.49,59,HIGH,True
EVT-0000165,False,7.18,41,MEDIUM,True
EVT-0000166,True,6.24,54,HIGH,False
EVT-0000167,False,6.39,28,LOW,False
EVT-0000168,False,4.16,32,MEDIUM,False
EVT-0000169,False,2.88,43,MEDIUM,False
EVT-0000170,False,5.21,38,MEDIUM,False
EVT-0000171,False,5.7,35,MEDIUM,False
EVT-0000172,False,5.43,27,LOW,False
EVT-0000173,True,6.47,74,CRITICAL,True
EVT-0000174,False,4.49,40,MEDIUM,True
EVT-0000175,False,6.19,48,MEDIUM,False
EVT-0000176,False,5.42,47,MEDIUM,True
EVT-0000177,False,3.85,33,MEDIUM,False
EVT-0000178,False,1.8,46,MEDIUM,False
EVT-0000179,False,4.75,36,MEDIUM,False
EVT-0000180,False,5.73,55,HIGH,False
EVT-0000181,True,7.72,33,MEDIUM,False
EVT-0000182,False,4.79,22,LOW,False
EVT-0000183,True,4.39,41,MEDIUM,False
EVT-0000184,False,2.79,42,MEDIUM,False
EVT-0000185,False,3.53,38,MEDIUM,False
EVT-0000186,False,6.44,41,MEDIUM,True
EVT-0000187,True,5.56,54,HIGH,False
EVT-0000188,False,2.77,36,MEDIUM,False
EVT-0000189,False,2.3,19,LOW,False
EVT-0000190,False,3.5,6,LOW,False
EVT-0000191,False,0.73,41,MEDIUM,False
EVT-0000192,False,3.54,21,LOW,False
EVT-0000193,False,2.61,40,MEDIUM,False
EVT-0000194,False,6.71,47,MEDIUM,False
EVT-0000195,False,5.04,22,LOW,False
EVT-0000196,False,2.77,36,MEDIUM,False
EVT-0000197,False,5.4,33,MEDIUM,False
EVT-0000198,False,5.82,55,HIGH,False
EVT-0000199,False,3.77,33,MEDIUM,False
EVT-0000200,True,6.15,52,HIGH,False
EVT-0000201,False,6.97,37,MEDIUM,False
EVT-0000202,False,5.69,29,LOW,False
EVT-0000203,False,5.68,44,MEDIUM,False
EVT-0000204,False,3.87,43,MEDIUM,False
EVT-0000205,False,4.01,35,MEDIUM,False
EVT-0000206,False,3.85,42,MEDIUM,False
EVT-0000207,False,5.73,67,HIGH,True
EVT-0000208,False,3.74,26,LOW,False
EVT-0000209,False,4.81,34,MEDIUM,False
EVT-0000210,False,3.92,25,LOW,False
EVT-0000211,False,4.79,43,MEDIUM,False
EVT-0000212,False,1.49,26,LOW,False
EVT-0000213,False,3.13,40,MEDIUM,True
EVT-0000214,False,4.08,27,LOW,False
EVT-0000215,False,3.88,41,MEDIUM,False
EVT-0000216,False,4.54,37,MEDIUM,False
EVT-0000217,False,4.18,37,MEDIUM,False
EVT-0000218,False,6.34,23,LOW,False
EVT-0000219,True,6.49,55,HIGH,True
EVT-0000220,False,5.97,54,HIGH,True
EVT-0000221,False,5.42,48,MEDIUM,False
EVT-0000222,False,5.01,57,HIGH,False
EVT-0000223,False,2.78,32,MEDIUM,False
EVT-0000224,False,4.3,26,LOW,False
EVT-0000225,False,3.14,24,LOW,False
EVT-0000226,False,8.42,39,MEDIUM,True
EVT-0000227,False,4.04,52,HIGH,True
EVT-0000228,False,4.78,39,MEDIUM,False
EVT-0000229,False,3.72,29,LOW,False
EVT-0000230,False,3.96,45,MEDIUM,True
EVT-0000231,False,4.14,28,LOW,False
EVT-0000232,True,5.87,41,MEDIUM,True
EVT-0000233,False,3.65,25,LOW,False
EVT-0000234,True,1.98,47,MEDIUM,True
EVT-0000235,True,5.65,67,HIGH,True
EVT-0000236,False,4.88,48,MEDIUM,False
EVT-0000237,False,7.45,29,LOW,False
EVT-0000238,True,8.09,56,HIGH,True
EVT-0000239,False,4.5,26,LOW,False
EVT-0000240,False,3.47,44,MEDIUM,False
EVT-0000241,False,6.44,27,LOW,False
EVT-0000242,False,4.82,39,MEDIUM,False
EVT-0000243,False,4.61,45,MEDIUM,False
EVT-0000244,False,5.37,53,HIGH,False
EVT-0000245,False,5.2,38,MEDIUM,False
EVT-0000246,False,5.01,15,LOW,False
EVT-0000247,False,5.68,47,MEDIUM,True
EVT-0000248,False,4.79,42,MEDIUM,False
EVT-0000249,False,3.76,43,MEDIUM,False
EVT-0000250,False,3.45,20,LOW,False
EVT-0000251,False,4.39,38,MEDIUM,False
EVT-0000252,False,0.67,28,LOW,False
EVT-0000253,False,3.09,37,MEDIUM,False
EVT-0000254,False,3.0,39,MEDIUM,False
EVT-0000255,False,7.75,45,MEDIUM,True
EVT-0000256,False,4.52,44,MEDIUM,True
EVT-0000257,False,1.24,18,LOW,False
EVT-0000258,False,5.62,38,MEDIUM,True
EVT-0000259,False,4.62,45,MEDIUM,True
EVT-0000260,False,1.78,28,LOW,False
EVT-0000261,False,4.01,18,LOW,False
EVT-0000262,False,8.05,33,MEDIUM,False
EVT-0000263,False,4.55,35,MEDIUM,False
EVT-0000264,False,5.44,38,MEDIUM,False
EVT-0000265,False,1.58,17,LOW,False
EVT-0000266,True,8.03,66,HIGH,True
EVT-0000267,False,6.72,46,MEDIUM,False
EVT-0000268,False,3.82,35,MEDIUM,False
EVT-0000269,False,3.23,18,LOW,False
EVT-0000270,False,5.25,16,LOW,False
EVT-0000271,False,4.03,36,MEDIUM,False
EVT-0000272,True,7.59,70,HIGH,False
EVT-0000273,False,5.1,42,MEDIUM,False
EVT-0000274,False,5.38,46,MEDIUM,False
EVT-0000275,True,3.86,38,MEDIUM,False
EVT-0000276,False,4.77,32,MEDIUM,False
EVT-0000277,True,4.58,51,HIGH,False
EVT-0000278,False,6.12,53,HIGH,True
EVT-0000279,False,2.64,35,MEDIUM,False
EVT-0000280,False,7.17,46,MEDIUM,False
EVT-0000281,False,5.92,32,MEDIUM,False
EVT-0000282,True,4.2,55,HIGH,True
EVT-0000283,False,3.41,42,MEDIUM,False
EVT-0000284,False,4.34,27,LOW,False
EVT-0000285,False,4.87,16,LOW,False
EVT-0000286,False,2.75,34,MEDIUM,False
EVT-0000287,False,3.85,22,LOW,False
EVT-0000288,False,4.31,42,MEDIUM,False
EVT-0000289,False,5.31,41,MEDIUM,True
EVT-0000290,False,1.38,16,LOW,False
EVT-0000291,False,5.91,34,MEDIUM,False
EVT-0000292,False,3.56,23,LOW,False
EVT-0000293,False,2.85,40,MEDIUM,False
EVT-0000294,True,3.13,24,LOW,False
EVT-0000295,False,4.13,28,LOW,False
EVT-0000296,True,5.32,61,HIGH,True
EVT-0000297,True,2.89,28,LOW,False
EVT-0000298,False,3.55,21,LOW,False
EVT-0000299,False,2.1,36,MEDIUM,False
EVT-0000300,False,9.56,53,HIGH,False
EVT-0000301,False,2.62,55,HIGH,True
EVT-0000302,False,3.82,44,MEDIUM,False
EVT-0000303,False,2.66,48,MEDIUM,False
EVT-0000304,False,6.11,36,MEDIUM,False
EVT-0000305,False,7.14,24,LOW,True
EVT-0000306,False,5.85,36,MEDIUM,False
EVT-0000307,False,3.21,31,MEDIUM,False
EVT-0000308,False,4.26,36,MEDIUM,False
EVT-0000309,True,2.75,45,MEDIUM,False
EVT-0000310,False,4.58,17,LOW,False
