threshold,recall,precision,f1,f2,accuracy,false_negatives,false_positives
0.05,0.9972,0.257,0.4087,0.6327,0.3093,1,1035
0.06,0.9972,0.2607,0.4134,0.6372,0.3227,1,1015
0.07,0.9972,0.2652,0.419,0.6425,0.338,1,992
0.08,0.9944,0.2725,0.4278,0.65,0.3633,2,953
0.09,0.9944,0.2789,0.4356,0.6572,0.3833,2,923
0.1,0.9833,0.2824,0.4388,0.6571,0.398,6,897
0.11,0.9777,0.2875,0.4443,0.6605,0.4147,8,870
0.12,0.9694,0.2915,0.4482,0.6616,0.4287,11,846
0.13,0.9666,0.2966,0.4539,0.6658,0.4433,12,823
0.14,0.9666,0.3033,0.4617,0.6725,0.4607,12,797
0.15,0.9666,0.3076,0.4667,0.6767,0.4713,12,781
0.16,0.961,0.3119,0.471,0.6786,0.4833,14,761
0.17,0.9499,0.3152,0.4733,0.6771,0.494,18,741
0.18,0.9471,0.3184,0.4765,0.6789,0.502,19,728
0.19,0.9471,0.3229,0.4816,0.683,0.512,19,713
0.2,0.9471,0.326,0.485,0.6858,0.5187,19,703
0.21,0.9443,0.3291,0.4881,0.6873,0.526,20,691
0.22,0.9387,0.3327,0.4913,0.688,0.5347,22,676
0.23,0.9331,0.3363,0.4945,0.6887,0.5433,24,661
0.24,0.9276,0.3426,0.5004,0.6914,0.5567,26,639
0.25,0.9276,0.3465,0.5045,0.6946,0.564,26,628
0.26,0.922,0.347,0.5042,0.6925,0.566,28,623
0.27,0.922,0.3533,0.5108,0.6974,0.5773,28,606
0.28,0.9136,0.3573,0.5137,0.6967,0.586,31,590
0.29,0.8997,0.3609,0.5152,0.6928,0.5947,36,572
0.3,0.8774,0.3592,0.5097,0.6809,0.596,44,562
0.31,0.8691,0.3632,0.5123,0.6797,0.604,47,547
0.32,0.8635,0.3695,0.5175,0.6813,0.6147,49,529
0.33,0.8579,0.3779,0.5247,0.6841,0.628,51,507
0.34,0.8552,0.3837,0.5298,0.6865,0.6367,52,493
0.35,0.8552,0.3926,0.5381,0.6921,0.6487,52,475
0.36,0.8524,0.3984,0.543,0.6942,0.6567,53,462
0.37,0.8468,0.4053,0.5482,0.6953,0.666,55,446
0.38,0.8357,0.4127,0.5525,0.6935,0.676,59,427
0.39,0.8189,0.417,0.5526,0.6866,0.6827,65,411
0.4,0.8134,0.4257,0.5589,0.688,0.6927,67,394
0.41,0.805,0.4333,0.5634,0.6871,0.7013,70,378
0.42,0.7994,0.4422,0.5694,0.6882,0.7107,72,362
0.43,0.7939,0.456,0.5793,0.6914,0.724,74,340
0.44,0.7772,0.4604,0.5782,0.6832,0.7287,80,327
0.45,0.7716,0.4751,0.5881,0.686,0.7413,82,306
0.46,0.7688,0.4817,0.5923,0.6869,0.7467,83,297
0.47,0.7604,0.4875,0.5941,0.6839,0.7513,86,287
0.48,0.7577,0.4964,0.5998,0.6855,0.758,87,276
0.49,0.7465,0.5076,0.6043,0.6823,0.766,91,260
0.5,0.7354,0.5136,0.6048,0.6769,0.77,95,250
0.51,0.727,0.5199,0.6063,0.6734,0.774,98,241
0.52,0.7214,0.5297,0.6108,0.6727,0.78,100,230
0.53,0.7159,0.5332,0.6112,0.67,0.782,102,225
0.54,0.7103,0.5335,0.6093,0.6661,0.782,104,223
0.55,0.7019,0.5373,0.6087,0.6614,0.784,107,217
0.56,0.688,0.5393,0.6047,0.6521,0.7847,112,211
0.57,0.6852,0.5455,0.6074,0.6518,0.788,113,205
0.58,0.6797,0.5483,0.607,0.6486,0.7893,115,201
0.59,0.6657,0.5507,0.6028,0.639,0.79,120,195
0.6,0.6602,0.555,0.6031,0.6361,0.792,122,190
0.61,0.649,0.5574,0.5997,0.6284,0.7927,126,185
0.62,0.6435,0.5593,0.5984,0.6247,0.7933,128,182
0.63,0.6435,0.5704,0.6047,0.6274,0.7987,128,174
0.64,0.6351,0.5758,0.604,0.6223,0.8007,131,168
0.65,0.6212,0.5822,0.6011,0.613,0.8027,136,160
0.66,0.6184,0.5952,0.6066,0.6136,0.808,137,151
0.67,0.6017,0.5967,0.5992,0.6007,0.8073,143,146
0.68,0.5961,0.6062,0.6011,0.5981,0.8107,145,139
0.69,0.5877,0.6134,0.6003,0.5927,0.8127,148,133
0.7,0.5599,0.6091,0.5835,0.5691,0.8087,158,129
0.71,0.5515,0.6149,0.5815,0.5631,0.81,161,124
0.72,0.5432,0.6171,0.5778,0.5565,0.81,164,121
0.73,0.532,0.6221,0.5736,0.5479,0.8107,168,116
0.74,0.5125,0.6237,0.5627,0.5315,0.8093,175,111
0.75,0.5042,0.6285,0.5595,0.5249,0.81,178,107
0.76,0.4875,0.6341,0.5512,0.5111,0.81,184,101
0.77,0.4652,0.6398,0.5387,0.492,0.8093,192,94
0.78,0.4485,0.6466,0.5296,0.4777,0.8093,198,88
0.79,0.4095,0.6533,0.5034,0.4425,0.8067,212,78
0.8,0.3788,0.6445,0.4772,0.4129,0.8013,223,75
0.81,0.3621,0.6633,0.4685,0.3983,0.8033,229,66
0.82,0.3343,0.6704,0.4461,0.3715,0.8013,239,59
0.83,0.3036,0.6855,0.4208,0.3417,0.8,250,50
0.84,0.2674,0.6957,0.3863,0.305,0.7967,263,42
0.85,0.2479,0.712,0.3678,0.2851,0.796,270,36
0.86,0.2173,0.7358,0.3355,0.2529,0.794,281,28
0.87,0.1866,0.7363,0.2978,0.2194,0.7893,292,24
0.88,0.1699,0.7722,0.2785,0.2013,0.7893,298,18
0.89,0.1532,0.7746,0.2558,0.1825,0.7867,304,16
0.9,0.1421,0.7969,0.2411,0.17,0.786,308,13
0.91,0.1198,0.8113,0.2087,0.1444,0.7827,316,10
0.92,0.1031,0.8222,0.1832,0.1249,0.78,322,8
0.93,0.0919,0.8684,0.1662,0.1119,0.7793,326,5
0.94,0.0669,0.8889,0.1244,0.082,0.7747,335,3
0.95,0.0585,0.875,0.1097,0.0719,0.7727,338,3
