threshold,recall,precision,f1,f2,accuracy,false_negatives,false_positives
0.05,0.994,0.2554,0.4063,0.6297,0.3513,2,971
0.06,0.991,0.2616,0.414,0.6363,0.3733,3,937
0.07,0.9881,0.2659,0.419,0.6402,0.388,4,914
0.08,0.9851,0.2674,0.4207,0.641,0.394,5,904
0.09,0.9851,0.27,0.4239,0.644,0.402,5,892
0.1,0.9851,0.273,0.4275,0.6473,0.4107,5,879
0.11,0.9851,0.2782,0.4339,0.6532,0.426,5,856
0.12,0.9851,0.2806,0.4368,0.6558,0.4327,5,846
0.13,0.9821,0.2841,0.4407,0.6585,0.4433,6,829
0.14,0.9731,0.2865,0.4426,0.6578,0.4527,9,812
0.15,0.9701,0.2936,0.4508,0.6641,0.472,10,782
0.16,0.9701,0.2984,0.4565,0.669,0.484,10,764
0.17,0.9522,0.305,0.462,0.6685,0.5047,16,727
0.18,0.9463,0.3117,0.4689,0.6725,0.5213,18,700
0.19,0.9373,0.3211,0.4783,0.6773,0.5433,21,664
0.2,0.9343,0.3302,0.4879,0.684,0.562,22,635
0.21,0.9313,0.3402,0.4984,0.6912,0.5813,23,605
0.22,0.9284,0.3483,0.5065,0.6964,0.596,24,582
0.23,0.9224,0.3614,0.5193,0.7039,0.6187,26,546
0.24,0.9194,0.3697,0.5274,0.7087,0.632,27,525
0.25,0.9194,0.3784,0.5361,0.7149,0.6447,27,506
0.26,0.9164,0.3876,0.5448,0.72,0.658,28,485
0.27,0.9015,0.3943,0.5486,0.717,0.6687,33,464
0.28,0.9015,0.4005,0.5546,0.7211,0.6767,33,452
0.29,0.8896,0.4016,0.5534,0.7157,0.6793,37,444
0.3,0.8866,0.408,0.5588,0.7181,0.6873,38,431
0.31,0.8836,0.4146,0.5643,0.7205,0.6953,39,418
0.32,0.8806,0.4178,0.5668,0.7209,0.6993,40,411
0.33,0.8716,0.4195,0.5664,0.7171,0.702,43,404
0.34,0.8657,0.4215,0.567,0.715,0.7047,45,398
0.35,0.8627,0.4256,0.57,0.7157,0.7093,46,390
0.36,0.8478,0.4277,0.5686,0.7086,0.7127,51,380
0.37,0.8418,0.4292,0.5685,0.7061,0.7147,53,375
0.38,0.8418,0.4338,0.5726,0.7085,0.7193,53,368
0.39,0.8388,0.4343,0.5723,0.7071,0.72,54,366
0.4,0.8358,0.4375,0.5744,0.7071,0.7233,55,360
0.41,0.8358,0.4437,0.5797,0.7103,0.7293,55,351
0.42,0.8328,0.45,0.5843,0.7117,0.7353,56,341
0.43,0.8299,0.452,0.5853,0.711,0.7373,57,337
0.44,0.8209,0.4523,0.5832,0.7059,0.738,60,333
0.45,0.809,0.4532,0.5809,0.6992,0.7393,64,327
0.46,0.803,0.4544,0.5804,0.6962,0.7407,66,323
0.47,0.797,0.4603,0.5836,0.6953,0.746,68,313
0.48,0.791,0.4609,0.5824,0.6919,0.7467,70,310
0.49,0.7881,0.4632,0.5834,0.6911,0.7487,71,306
0.5,0.7851,0.4696,0.5877,0.6921,0.754,72,297
0.51,0.7791,0.4711,0.5872,0.689,0.7553,74,293
0.52,0.7731,0.4735,0.5873,0.6863,0.7573,76,288
0.53,0.7642,0.4785,0.5885,0.6827,0.7613,79,279
0.54,0.7582,0.4847,0.5914,0.6813,0.766,81,270
0.55,0.7493,0.4902,0.5927,0.6776,0.77,84,261
0.56,0.7403,0.495,0.5933,0.6735,0.7733,87,253
0.57,0.7373,0.5031,0.5981,0.6745,0.7787,88,244
0.58,0.7284,0.5083,0.5988,0.6703,0.782,91,236
0.59,0.7104,0.5129,0.5957,0.6596,0.7847,97,226
0.6,0.7045,0.5221,0.5997,0.6585,0.79,99,216
0.61,0.6925,0.5285,0.5995,0.6521,0.7933,103,207
0.62,0.6746,0.5343,0.5963,0.641,0.796,109,197
0.63,0.6657,0.5493,0.6019,0.6386,0.8033,112,183
0.64,0.6328,0.5668,0.598,0.6184,0.81,123,162
0.65,0.6179,0.575,0.5957,0.6088,0.8127,128,153
0.66,0.606,0.5918,0.5988,0.6031,0.8187,132,140
0.67,0.597,0.5952,0.5961,0.5967,0.8193,135,136
0.68,0.5791,0.6062,0.5924,0.5843,0.822,141,126
0.69,0.5522,0.6066,0.5781,0.5623,0.82,150,120
0.7,0.5493,0.6237,0.5841,0.5627,0.8253,151,111
0.71,0.5343,0.637,0.5812,0.5521,0.828,156,102
0.72,0.5284,0.6507,0.5832,0.549,0.8313,158,95
0.73,0.5134,0.6693,0.5811,0.5385,0.8347,163,85
0.74,0.4955,0.6803,0.5734,0.524,0.8353,169,78
0.75,0.4836,0.6835,0.5664,0.5136,0.8347,173,75
0.76,0.4836,0.6983,0.5714,0.5153,0.838,173,70
0.77,0.4746,0.713,0.5699,0.5086,0.84,176,64
0.78,0.4448,0.7163,0.5488,0.4813,0.8367,186,59
0.79,0.4418,0.7255,0.5492,0.4793,0.838,187,56
0.8,0.4299,0.7236,0.5393,0.4678,0.836,191,55
0.81,0.4149,0.7316,0.5295,0.4542,0.8353,196,51
0.82,0.406,0.7391,0.5241,0.4462,0.8353,199,48
0.83,0.3881,0.7345,0.5078,0.4285,0.832,205,47
0.84,0.3791,0.7651,0.507,0.4216,0.8353,208,39
0.85,0.3672,0.7785,0.499,0.4105,0.8353,212,35
0.86,0.3552,0.7933,0.4907,0.3993,0.8353,216,31
0.87,0.3284,0.7971,0.4651,0.3721,0.8313,225,28
0.88,0.3104,0.8,0.4473,0.3537,0.8287,231,26
0.89,0.2955,0.8115,0.4333,0.3386,0.8273,236,23
0.9,0.2746,0.8142,0.4107,0.3166,0.824,243,21
0.91,0.2507,0.8317,0.3853,0.2915,0.8213,251,17
0.92,0.2239,0.8242,0.3521,0.2621,0.816,260,16
0.93,0.191,0.8649,0.313,0.2263,0.8127,271,10
0.94,0.1582,0.8689,0.2677,0.1892,0.8067,282,8
0.95,0.1284,0.8776,0.224,0.1548,0.8013,292,6
