target,task_type,model,train_accuracy,val_accuracy,test_accuracy,val_precision,test_precision,val_recall,test_recall,val_f1,test_f1,val_roc_auc,test_roc_auc,val_pr_auc,test_pr_auc,val_confusion_matrix,test_confusion_matrix,overfit_gap_acc,train_r2,val_r2,test_r2,val_mae,test_mae,val_rmse,test_rmse,overfit_gap_r2
failure_within_30d_target,Classification,Logistic Regression (Balanced),0.7862857142857143,0.756,0.7586666666666667,0.4719710669077758,0.484573502722323,0.7791044776119403,0.7739130434782608,0.5878378378378378,0.5959821428571429,0.8448529882774967,0.8436388732040906,0.6561878339614131,0.6526711980635437,"[[873, 292], [74, 261]]","[[871, 284], [78, 267]]",0.03028571428571425,,,,,,,,
failure_within_30d_target,Classification,Random Forest (Balanced),0.8858571428571429,0.7793333333333333,0.7866666666666666,0.5042735042735043,0.5272331154684096,0.7044776119402985,0.7014492753623188,0.5877957658779577,0.6019900497512438,0.8382448273653194,0.8402911098563272,0.5962027552486315,0.6165066386409909,"[[933, 232], [99, 236]]","[[938, 217], [103, 242]]",0.10652380952380958,,,,,,,,
failure_within_30d_target,Classification,HistGradientBoosting (Balanced),0.8861428571428571,0.774,0.7946666666666666,0.4957081545064378,0.5399568034557235,0.6895522388059702,0.7246376811594203,0.5767790262172284,0.6188118811881188,0.8274703734546154,0.838649852562896,0.6166610575717995,0.6383898730047134,"[[930, 235], [104, 231]]","[[942, 213], [95, 250]]",0.1121428571428571,,,,,,,,
block_required_target,Classification,Logistic Regression (Balanced),0.771,0.7673333333333333,0.7446666666666667,0.5097276264591439,0.47610294117647056,0.7298050139275766,0.7254901960784313,0.6002290950744559,0.5749167591564928,0.8220712418125135,0.8067839559270777,0.6065152218454439,0.5975897939895488,"[[889, 252], [97, 262]]","[[858, 285], [98, 259]]",0.003666666666666707,,,,,,,,
block_required_target,Classification,Random Forest (Balanced),0.8845714285714286,0.7793333333333333,0.7573333333333333,0.5305676855895196,0.492600422832981,0.6768802228412256,0.6526610644257703,0.594859241126071,0.5614457831325301,0.8027508489596428,0.7907933076992828,0.5578519687729464,0.5461937613856908,"[[926, 215], [116, 243]]","[[903, 240], [124, 233]]",0.10523809523809524,,,,,,,,
block_required_target,Classification,HistGradientBoosting (Balanced),0.8814285714285715,0.7713333333333333,0.766,0.5180995475113123,0.5064655172413793,0.637883008356546,0.6582633053221288,0.5717852684144819,0.5724725943970768,0.8099062787614832,0.8016730751793281,0.6022254762750131,0.5938061555635169,"[[928, 213], [130, 229]]","[[914, 229], [122, 235]]",0.11009523809523813,,,,,,,,
priority_score_target,Regression,Ridge Regression,,,,,,,,,,,,,,,,,0.7501732921517229,0.7392281293489791,0.7267802634364102,5.363037640691172,5.577813780425418,6.849781995448481,7.040864184718265,0.010945162802743824
priority_score_target,Regression,Random Forest Regressor,,,,,,,,,,,,,,,,,0.8856340350490531,0.7441508054335685,0.7302005061834728,5.3379004933476315,5.530965793763871,6.784821173070782,6.996655620083701,0.14148322961548465
priority_score_target,Regression,HistGradientBoosting Regressor,,,,,,,,,,,,,,,,,0.8374911295089292,0.744387623017386,0.7302256873120458,5.316216088320544,5.522599789769825,6.7816803835467905,6.996329103911677,0.0931035064915432
maintenance_duration_hours_target,Regression,Ridge Regression,,,,,,,,,,,,,,,,,0.326323014656132,0.354953319710705,0.2903877762534297,1.121507455882503,1.1442226960635082,1.399453712087767,1.4652530190535773,-0.02863030505457298
maintenance_duration_hours_target,Regression,Random Forest Regressor,,,,,,,,,,,,,,,,,0.5905189892521996,0.3239783315365138,0.2657369452825785,1.1402209290404952,1.1681665333395195,1.4326604584236413,1.4904860622739444,0.2665406577156858
maintenance_duration_hours_target,Regression,HistGradientBoosting Regressor,,,,,,,,,,,,,,,,,0.5384580819122828,0.32642644712560576,0.2655470765497171,1.1381167628189082,1.1702947032913946,1.430064018367678,1.4906787577976595,0.21203163478667708
